amount,merchant,description,category
703.9,Zomato,snack at Zomato,Dining
4515.18,BYJU'S,STUDY MATERIAL AT BYJU'S,Education
1975.12,DMart,monthly ration at DMart,Groceries
1369.41,Uber,cab fare at Uber,Travel
254.44,Domino's,snack at Domino's,Dining
254.39,IRCTC,cab fare at IRCTC,Travel
89.76,Zomato,lunch at Zomato,Dining
3016.85,Netmeds,doctor visit at Netmeds,Healthcare
1378.62,Swiggy,lunch at Swiggy,Dining
1846.88,unacademy,study material at Unacademy,Education
31.2,Flipkart,electronics at Flipkart,Shopping
5255.34,1mg,health checkup at 1mg,Healthcare
2679.64,Ola,cab fare at Ola,Travel
358.03,Swiggy,lunch at Swiggy,Dining
301.02,Netmeds,medicine at Netmeds,Healthcare
303.92,BookMyShow,subscription at BookMyShow,Entertainment
544.13,Amazon,clothes at Amazon,Shopping
1115.89,Netflix,movie at Netflix,Entertainment
848.31,Amazon,clothes at Amazon,Shopping
516.33,Swiggy,lunch at Swiggy,Dining
1419.56,Google Pay,transfer at Google Pay,Others
225.35,Spotify,games at Spotify,Entertainment
518.27,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
684.42,BookMyShow,concert at BookMyShow,Entertainment
913.4,PhonePe,payment at PhonePe,Others
2306.9,Uber,flight at Uber,Travel
334.1,Zomato,food delivery at Zomato,Dining
1083.04,RedBus,cab fare at RedBus,Travel
1346.26,BYJU'S,course fee at BYJU'S,Education
71.35,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
1403,IRCTC,flight at IRCTC,Travel
280.44,Coursera,course fee at Coursera,Education
100.9,Reliance Fresh,milk at Reliance Fresh,Groceries
4460.53,Big Bazaar,bread at Big Bazaar,Groceries
5055.95,Paytm,recharge at Paytm,Others
2478.5,Vedantu,subscription at Vedantu,Education
544.93,Ajio,home decor at Ajio,Shopping
154.17,Swiggy,snack at Swiggy,Dining
1729.13,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
870.14,Reliance Fresh,milk at Reliance Fresh,Groceries
195.23,Myntra,electronics at Myntra,Shopping
1025.32,flipkart,clothes at Flipkart,Shopping
52.49,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
3600.63,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
449.19,BookMyShow,subscription at BookMyShow,Entertainment
1629.38,redbus,bus ticket at RedBus,Travel
560.32,Spotify,concert at Spotify,Entertainment
1101.17,1mg,doctor visit at 1mg,Healthcare
1186.84,DMart,monthly ration at DMart,Groceries
306.58,Coursera,study material at Coursera,Education
5239.21,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
2238.37,IRCTC,flight at IRCTC,Travel
4207.64,Tata Power,mobile recharge at Tata Power,Utilities
3378.23,Domino's,snack at Domino's,Dining
1366.58,Airtel,mobile recharge at Airtel,Utilities
3824.15,Reliance Fresh,vegetables at Reliance Fresh,Groceries
138.98,PractO,doctor visit at PractO,Healthcare
327.2,Domino's,snack at Domino's,Dining
69.42,Big Bazaar,bread at Big Bazaar,Groceries
590.3,Paytm,recharge at Paytm,Others
738.2,Big Bazaar,monthly ration at Big Bazaar,Groceries
474.84,Unacademy,course fee at Unacademy,Education
2646.84,Google Pay,payment at Google Pay,Others
661.84,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
494.7,Coursera,study material at Coursera,Education
1173.61,Hotstar,movie at Hotstar,Entertainment
227.85,Barbeque Nation,food delivery at Barbeque Nation,Dining
2430.73,IRCTC,flight at IRCTC,Travel
116.21,redbus,flight at RedBus,Travel
6501.22,RedBus,flight at RedBus,Travel
2219.23,Big Bazaar,monthly ration at Big Bazaar,Groceries
332.31,Netmeds,health checkup at Netmeds,Healthcare
10,Barbeque Nation,dinner at Barbeque Nation,Dining
2534.85,Big Bazaar,bread at Big Bazaar,Groceries
1840.64,Swiggy,food delivery at Swiggy,Dining
1958.49,Swiggy,SNACK AT SWIGGY,Dining
2212.82,Ola,bus ticket at Ola,Travel
115.39,Flipkart,clothes at Flipkart,Shopping
665.84,BookMyShow,games at BookMyShow,Entertainment
184.73,1mg,consultation at 1mg,Healthcare
2982.79,Coursera,subscription at Coursera,Education
1464.45,Domino's,food delivery at Domino's,Dining
602.73,Netmeds,doctor visit at Netmeds,Healthcare
98.5,PhonePe,payment at PhonePe,Others
558.73,Ola,bus ticket at Ola,Travel
589.97,Domino's,lunch at Domino's,Dining
1961.81,Vedantu,subscription at Vedantu,Education
1522.33,BESCOM,gas bill at BESCOM,Utilities
3273.38,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
958.6,swiggy,snack at Swiggy,Dining
191.06,Flipkart,clothes at Flipkart,Shopping
1873.69,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
2145.59,Reliance Fresh,monthly ration at Reliance Fresh,Groceries
1235.83,DMart,bread at DMart,Groceries
2210.83,RedBus,flight at RedBus,Travel
1021.22,PhonePe,transfer at PhonePe,Others
1109.52,swiggy,lunch at Swiggy,Dining
836.72,Google Pay,payment at Google Pay,Others
38.62,Swiggy,snack at Swiggy,Dining
171.25,Unacademy,study material at Unacademy,Education
47.9,Myntra,footwear at Myntra,Shopping
1517.59,Coursera,SUBSCRIPTION AT COURSERA,Education
566.1,Flipkart,clothes at Flipkart,Shopping
1065.66,Flipkart,electronics at Flipkart,Shopping
3571.9,Google Pay,recharge at Google Pay,Others
430.11,Swiggy,snack at Swiggy,Dining
792.42,BYJU'S,subscription at BYJU'S,Education
2113.12,BYJU'S,study material at BYJU'S,Education
389.71,PractO,medicine at PractO,Healthcare
120.16,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
513.21,More Supermarket,milk at More Supermarket,Groceries
263.71,Netmeds,health checkup at Netmeds,Healthcare
3982.43,RedBus,bus ticket at RedBus,Travel
2476.33,Vedantu,course fee at Vedantu,Education
1505.24,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
3077.28,Netflix,concert at Netflix,Entertainment
2441.95,PractO,consultation at PractO,Healthcare
309.74,Vedantu,course fee at Vedantu,Education
3346.22,RedBus,train ticket at RedBus,Travel
1162.65,spotify,subscription at Spotify,Entertainment
2471.02,Amazon,clothes at Amazon,Shopping
3396.36,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
574.1,RedBus,bus ticket at RedBus,Travel
174.89,Barbeque Nation,lunch at Barbeque Nation,Dining
388.03,Flipkart,footwear at Flipkart,Shopping
835.59,Google Pay,recharge at Google Pay,Others
2555.74,Ola,train ticket at Ola,Travel
2957.02,Flipkart,footwear at Flipkart,Shopping
10.46,More Supermarket,vegetables at More Supermarket,Groceries
1072.31,Amazon,CLOTHES AT AMAZON,Shopping
810.41,Netflix,movie at Netflix,Entertainment
376.75,Vedantu,study material at Vedantu,Education
191.52,Netmeds,health checkup at Netmeds,Healthcare
617.86,Uber,train ticket at Uber,Travel
4294.68,ajio,home decor at Ajio,Shopping
585.58,Vedantu,study material at Vedantu,Education
1097.18,Ajio,clothes at Ajio,Shopping
1821.13,Swiggy,lunch at Swiggy,Dining
677.96,Coursera,study material at Coursera,Education
5351.7,Flipkart,home decor at Flipkart,Shopping
4923.01,Hotstar,movie at Hotstar,Entertainment
435.09,apollo pharmacy,doctor visit at Apollo Pharmacy,Healthcare
1031.49,Mahanagar Gas,gas bill at Mahanagar Gas,Utilities
536.9,Netflix,movie at Netflix,Entertainment
502.87,Zomato,lunch at Zomato,Dining
56.38,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
1410.74,bookmyshow,games at BookMyShow,Entertainment
1047.78,Vedantu,subscription at Vedantu,Education
79.28,Barbeque Nation,food delivery at Barbeque Nation,Dining
489.94,PhonePe,recharge at PhonePe,Others
3583.29,Coursera,course fee at Coursera,Education
410.79,Airtel,mobile recharge at Airtel,Utilities
234.8,Domino's,food delivery at Domino's,Dining
1008.41,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
6366.06,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
415.72,IRCTC,cab fare at IRCTC,Travel
1672.73,1mg,medicine at 1mg,Healthcare
2150.83,IRCTC,cab fare at IRCTC,Travel
407,BookMyShow,concert at BookMyShow,Entertainment
1954.12,Big Bazaar,bread at Big Bazaar,Groceries
687.78,bookmyshow,movie at BookMyShow,Entertainment
1500.76,PractO,consultation at PractO,Healthcare
1505.76,Spotify,movie at Spotify,Entertainment
1151.08,DMart,MONTHLY RATION AT DMART,Groceries
141.94,Bharat Petroleum,DIESEL AT BHARAT PETROLEUM,Fuel
2705.47,redbus,cab fare at RedBus,Travel
580.22,Spotify,games at Spotify,Entertainment
309.65,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
62.44,Google Pay,recharge at Google Pay,Others
1340.67,Indian Oil,fuel refill at Indian Oil,Fuel
1697.78,Netflix,concert at Netflix,Entertainment
25.09,Swiggy,food delivery at Swiggy,Dining
1076.45,PhonePe,recharge at PhonePe,Others
385.24,Barbeque Nation,food delivery at Barbeque Nation,Dining
1554.19,Domino's,food delivery at Domino's,Dining
287.41,Barbeque Nation,food delivery at Barbeque Nation,Dining
1761.32,PhonePe,transfer at PhonePe,Others
733.44,Domino's,dinner at Domino's,Dining
4140.52,1mg,health checkup at 1mg,Healthcare
221.92,Reliance Fresh,milk at Reliance Fresh,Groceries
625.7,Paytm,payment at Paytm,Others
180.67,RedBus,train ticket at RedBus,Travel
3879.29,byju's,study material at BYJU'S,Education
3147.5,Tata Power,mobile recharge at Tata Power,Utilities
447.49,Zomato,snack at Zomato,Dining
1618.14,Paytm,recharge at Paytm,Others
2549.23,Netmeds,consultation at Netmeds,Healthcare
1215.2,Tata Power,mobile recharge at Tata Power,Utilities
1131.42,Indian Oil,fuel refill at Indian Oil,Fuel
415.32,Zomato,snack at Zomato,Dining
146.59,IRCTC,bus ticket at IRCTC,Travel
3412.68,Netflix,games at Netflix,Entertainment
3460.16,Netflix,concert at Netflix,Entertainment
1504,PractO,medicine at PractO,Healthcare
621.07,PhonePe,payment at PhonePe,Others
644.35,google pay,transfer at Google Pay,Others
1941.7,Mahanagar Gas,internet at Mahanagar Gas,Utilities
3411.15,Domino's,dinner at Domino's,Dining
3271.7,Ola,train ticket at Ola,Travel
2270.34,Netflix,movie at Netflix,Entertainment
1540.97,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
131.84,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
264.44,Ajio,footwear at Ajio,Shopping
3432.35,Reliance Fresh,vegetables at Reliance Fresh,Groceries
1398.74,Uber,bus ticket at Uber,Travel
13.86,Barbeque Nation,dinner at Barbeque Nation,Dining
160.5,Zomato,snack at Zomato,Dining
1633.74,Netmeds,consultation at Netmeds,Healthcare
10,Big Bazaar,monthly ration at Big Bazaar,Groceries
262.97,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
1193.55,Spotify,movie at Spotify,Entertainment
1765.97,Swiggy,snack at Swiggy,Dining
1583.16,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
380.92,Tata Power,mobile recharge at Tata Power,Utilities
1868.13,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
406.24,Amazon,electronics at Amazon,Shopping
590.45,Airtel,electricity bill at Airtel,Utilities
2058.54,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
1573.16,Ola,train ticket at Ola,Travel
2837.93,Netflix,concert at Netflix,Entertainment
1607.72,Unacademy,subscription at Unacademy,Education
1260.07,Vedantu,course fee at Vedantu,Education
147.54,Flipkart,electronics at Flipkart,Shopping
687.62,Google Pay,recharge at Google Pay,Others
462.24,Amazon,FOOTWEAR AT AMAZON,Shopping
419.55,Ajio,electronics at Ajio,Shopping
5418.46,PractO,consultation at PractO,Healthcare
749.08,Hotstar,games at Hotstar,Entertainment
3339.08,Domino's,food delivery at Domino's,Dining
1496,Google Pay,transfer at Google Pay,Others
2375.74,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
1047.65,Ola,bus ticket at Ola,Travel
1290.23,Netmeds,medicine at Netmeds,Healthcare
1017.44,Uber,train ticket at Uber,Travel
325.82,Barbeque Nation,food delivery at Barbeque Nation,Dining
1922.64,Indian Oil,diesel at Indian Oil,Fuel
494.37,PhonePe,PAYMENT AT PHONEPE,Others
36.92,PractO,doctor visit at PractO,Healthcare
1555.45,Uber,cab fare at Uber,Travel
292.4,Reliance Fresh,vegetables at Reliance Fresh,Groceries
4231.62,More Supermarket,vegetables at More Supermarket,Groceries
4616.34,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
3695.26,Swiggy,dinner at Swiggy,Dining
693.43,Coursera,study material at Coursera,Education
23.37,PractO,health checkup at PractO,Healthcare
3953.29,Ajio,electronics at Ajio,Shopping
838.41,Myntra,electronics at Myntra,Shopping
5101.26,Myntra,clothes at Myntra,Shopping
