amount,merchant,description,category
17859.68,Google,Weekend trip,Other
12960.3,Cleartrip,Flight booking,Travel
4192.74,Flipkart,Doctor appointment,Shopping
13191.51,Spotify,Online purchase,Entertainment
8419.87,Flipkart,Grocery shopping,Shopping
885.21,PharmEasy,Streaming subscription,Health
12904.42,Goibibo,Weekend trip,Travel
7786.08,Byju's,Cab ride,Education
10238.94,RedBus,Monthly bill,Transport
193.53,BWSSB,Online purchase,Utilities
358.05,Apple,Recharge,Other
14670.66,Coursera,Flight booking,Education
11311.09,Tata,Rent payment,Other
10057.86,Goibibo,Rent payment,Travel
2644.2,Amazon,Streaming subscription,Shopping
1630.78,Spotify,Online purchase,Entertainment
14754.82,Airtel,Monthly bill,Utilities
15153.5,Netflix,Flight booking,Entertainment
7347.29,BookMyShow,Movie night,Entertainment
11343.1,Apple,Lunch,Other
14614.04,HDFC Bank,Online purchase,Rent
15972.52,Rapido,Electricity bill,Transport
14489.12,Spotify,Online purchase,Entertainment
18905.73,Goibibo,Electricity bill,Travel
15084.47,MakeMyTrip,Online purchase,Travel
17270.92,BESCOM,Movie night,Utilities
17662.94,Jio,Streaming subscription,Utilities
11016.02,Airtel,Movie night,Utilities
4372.43,IRCTC,Flight booking,Travel
14319.34,Ajio,Streaming subscription,Shopping
10381.07,Apollo,Recharge,Health
2986.47,BookMyShow,Tuition fees,Entertainment
9766.18,Hotstar,Monthly bill,Entertainment
11039.0,Hotstar,Dinner,Entertainment
7243.9,RedBus,Tuition fees,Transport
15198.68,Byju's,Cab ride,Education
9433.3,PharmEasy,Dinner,Health
16011.89,Myntra,Lunch,Shopping
999.35,Flipkart,Dinner,Shopping
1736.43,SBI,Electricity bill,Rent
15833.97,Spotify,Weekend trip,Entertainment
17443.79,Apple,Dinner,Other
1704.96,Rapido,Lunch,Transport
15931.17,BookMyShow,Rent payment,Entertainment
15940.32,Airtel,Lunch,Utilities
1077.28,Paytm,Monthly bill,Rent
10624.02,Zomato,Pharmacy order,Food
19475.49,Goibibo,Electricity bill,Travel
12685.63,Apollo,Electricity bill,Health
6001.36,Microsoft,Online purchase,Other
1575.82,Flipkart,Weekend trip,Shopping
2795.46,Ola,Tuition fees,Transport
1268.71,Spotify,Flight booking,Entertainment
1922.65,Domino's,Movie night,Food
502.26,MedPlus,Pharmacy order,Health
14845.91,Myntra,Online purchase,Shopping
11200.64,Apple,Dinner,Other
13817.88,PharmEasy,Recharge,Health
1404.48,Amazon,Flight booking,Shopping
8970.93,Byju's,Tuition fees,Education
14243.95,Rapido,Weekend trip,Transport
15292.63,BESCOM,Recharge,Utilities
7198.52,PharmEasy,Pharmacy order,Health
11429.12,Ajio,Monthly bill,Shopping
9588.29,Udemy,Doctor appointment,Education
11435.47,Apollo,Doctor appointment,Health
2328.84,Myntra,Grocery shopping,Shopping
11388.38,SBI,Doctor appointment,Rent
12770.36,BESCOM,Pharmacy order,Utilities
1748.47,SBI,Electricity bill,Rent
15171.34,Apollo,Online purchase,Health
9923.4,SBI,Monthly bill,Rent
8385.9,Google,Online purchase,Other
9380.27,BookMyShow,Dinner,Entertainment
18893.26,Udemy,Rent payment,Education
5958.99,Hotstar,Streaming subscription,Entertainment
14579.69,Rapido,Streaming subscription,Transport
16598.85,IRCTC,Recharge,Travel
10242.97,RedBus,Monthly bill,Transport
1383.2,SBI,Cab ride,Rent
5428.65,MakeMyTrip,Weekend trip,Travel
4959.14,BESCOM,Pharmacy order,Utilities
378.23,Unacademy,Tuition fees,Education
14388.06,Zomato,Streaming subscription,Food
3531.56,Airtel,Movie night,Utilities
1168.6,Zomato,Streaming subscription,Food
11369.91,ICICI Bank,Weekend trip,Rent
9822.05,SBI,Monthly bill,Rent
19142.48,SBI,Recharge,Rent
10396.9,MedPlus,Tuition fees,Health
11377.17,Tata,Weekend trip,Other
8091.05,KFC,Lunch,Food
2851.67,Hotstar,Tuition fees,Entertainment
17896.38,IRCTC,Recharge,Travel
9125.61,IRCTC,Doctor appointment,Travel
7472.16,Unacademy,Recharge,Education
15991.25,Byju's,Pharmacy order,Education
16914.22,PharmEasy,Grocery shopping,Health
4928.67,Google,Monthly bill,Other
1413.34,Ajio,Lunch,Shopping
12676.91,Ola,Lunch,Transport
855.15,BWSSB,Monthly bill,Utilities
16311.12,SBI,Streaming subscription,Rent
3506.5,Flipkart,Electricity bill,Shopping
9413.48,Tata,Rent payment,Other
6465.33,Myntra,Movie night,Shopping
12025.47,Google,Rent payment,Other
11588.0,Ajio,Doctor appointment,Shopping
13914.26,IRCTC,Flight booking,Travel
15392.18,Byju's,Online purchase,Education
4125.67,BookMyShow,Cab ride,Entertainment
3039.53,ICICI Bank,Recharge,Rent
3964.69,Google,Movie night,Other
4364.63,HDFC Bank,Monthly bill,Rent
17749.98,HDFC Bank,Movie night,Rent
15047.62,Rapido,Movie night,Transport
19861.64,1mg,Electricity bill,Health
5926.46,IRCTC,Lunch,Travel
9657.38,Hotstar,Online purchase,Entertainment
5311.84,1mg,Streaming subscription,Health
19146.28,Google,Electricity bill,Other
9333.59,Amazon,Monthly bill,Shopping
12240.35,BWSSB,Electricity bill,Utilities
17672.34,Airtel,Streaming subscription,Utilities
6746.03,RedBus,Doctor appointment,Transport
84.18,Tata,Monthly bill,Other
8206.52,Apple,Dinner,Other
18993.97,Goibibo,Pharmacy order,Travel
9980.23,Myntra,Weekend trip,Shopping
2857.39,Airtel,Lunch,Utilities
8582.22,Apple,Cab ride,Other
12238.69,ICICI Bank,Weekend trip,Rent
8616.56,SBI,Electricity bill,Rent
17787.41,Netflix,Tuition fees,Entertainment
9532.31,Paytm,Movie night,Rent
8805.19,Ola,Lunch,Transport
4224.86,IRCTC,Doctor appointment,Travel
3415.34,Tata,Tuition fees,Other
1041.07,Byju's,Pharmacy order,Education
5749.32,Ola,Weekend trip,Transport
3795.12,Udemy,Lunch,Education
19313.01,Tata,Doctor appointment,Other
19833.44,Google,Flight booking,Other
3299.8,RedBus,Electricity bill,Transport
5146.25,Microsoft,Doctor appointment,Other
18044.78,Unacademy,Electricity bill,Education
15523.25,Google,Online purchase,Other
9297.63,Cleartrip,Streaming subscription,Travel
